#{"t_start": 1756147829.2821352, "env_id": "None"}
r,l,t
-106.758674,13,1688.870817
-108.678639,18,1691.193422
-101.206629,14,1693.104458
-88.509029,19,1695.394317
-96.197943,16,1697.44734
-111.146794,21,1699.969147
-98.004084,19,1702.312427
-112.175787,13,1704.045648
-96.449496,19,1706.281122
-95.919102,18,1708.818779
-111.858471,17,1710.865447
-89.311692,17,1713.502784
-93.238886,19,1716.989391
-106.756832,13,1719.02063
-97.897965,17,1721.163739
-107.85145,14,1724.037825
-75.222198,22,1726.665233
-110.4001,13,1728.389777
-99.463176,15,1730.736236
-103.297043,17,1733.050493
-92.801998,18,1735.880655
-94.741089,21,1738.34542
-87.611201,18,1740.537533
-114.273749,14,1742.204785
-95.615511,18,1745.677887
-111.273502,14,1747.811175
-92.509699,16,1749.883974
-89.32211,20,1752.35529
-82.391597,19,1755.080812
-96.117838,16,1757.135581
-91.642095,17,1759.982964
-90.594869,17,1761.973366
-100.518765,18,1764.243684
-112.297017,15,1766.511619
-97.458336,19,1769.256744
-69.111884,25,1772.076405
-95.40525,18,1774.433261
-92.849757,16,1776.950265
-87.411281,17,1779.044643
-94.870449,15,1780.944446
-105.664197,14,1782.867197
-102.54918,16,1784.975101
-102.909632,13,1786.897919
-101.126277,16,1789.049333
-103.635618,16,1791.177855
-101.270567,15,1793.554419
-76.898037,19,1796.04608
-97.594962,16,1798.26738
-91.833009,18,1800.707365
-106.257041,13,1802.610941
-78.527587,23,1805.650307
-104.260002,14,1807.879277
-107.027138,15,1810.912344
-89.221207,18,1813.275812
-100.61698,16,1815.827653
-90.726232,17,1818.152862
-99.696165,14,1820.0678
-103.244949,16,1822.899598
-82.775207,19,1825.347012
-104.750801,15,1827.759964
-94.349471,16,1829.866119
-84.076973,23,1832.59138
-98.306126,14,1834.647042
-105.216527,12,1836.756977
-85.768895,18,1840.132459
-105.266073,13,1841.886933
-86.873599,20,1844.407217
-87.163572,17,1846.503678
-71.004876,22,1849.368584
-54.623965,18,1851.762618
-87.955103,17,1854.263722
-99.490774,15,1856.143755
-99.873287,14,1858.708954
-82.323577,21,1861.14967
-93.468218,14,1863.014508
-99.496739,15,1865.300021
-115.006797,11,1867.762699
-94.842511,20,1870.926174
-99.533398,14,1872.857113
-104.856361,15,1874.748949
-109.155346,13,1876.577266
-81.25697,20,1879.433223
