#{"t_start": 1776774591.3902214, "env_id": "None"}
r,l,t
-244.466086,16,5517.308451
-237.735183,20,5524.463757
-280.79185,13,5529.146919
-268.774867,12,5534.573889
-316.60466,23,5542.229623
-261.041768,17,5548.554467
-263.787829,16,5555.551519
-236.620288,15,5564.157565
-326.417253,16,5570.029536
-278.111415,17,5577.292705
-298.465116,17,5586.112
-246.10916,19,5593.492028
-293.170748,18,5602.247135
-282.241697,15,5607.252727
-226.306543,15,5612.133507
-307.164495,18,5619.260829
-301.739929,16,5624.973002
-330.16713,16,5631.841203
-354.229631,12,5636.141242
-253.498669,19,5642.883326
-268.015618,15,5648.881426
-374.729083,15,5655.407475
-368.766978,15,5661.869983
-208.702289,20,5669.124067
-276.772529,19,5676.11301
-183.023526,11,5680.501338
-316.31589,21,5688.35449
-270.310139,11,5694.372209
-285.967715,20,5701.049027
-233.510756,16,5706.782053
-223.676011,19,5714.052955
-279.020615,16,5720.35522
-255.301388,14,5728.250058
-325.495997,18,5734.215748
-193.820315,10,5738.235851
-276.767589,15,5744.761758
-281.493207,21,5752.595351
-297.894032,19,5759.189049
-179.573833,16,5764.756339
-237.994857,17,5771.678135
-286.247739,20,5778.349561
-251.160889,17,5784.200906
-248.003924,15,5790.859885
-237.555295,16,5798.835666
-281.442124,20,5807.207133
-177.919579,19,5815.542011
-271.046245,16,5821.453361
-305.364315,20,5828.544316
-251.42192,18,5835.696597
-277.18977,15,5843.781833
-231.284179,19,5852.51895
-279.463126,15,5858.738358
-343.044711,14,5864.461355
-237.351646,16,5870.679872
-382.84719,19,5877.656544
-245.084348,18,5883.508039
-259.601747,15,5888.498059
-213.343405,21,5896.377388
-299.283097,18,5902.787391
-282.715625,18,5909.528186
-296.798538,11,5914.972569
-216.193944,22,5924.22558
-325.332781,17,5930.049336
-295.457966,15,5936.232727
-266.710667,19,5943.032315
-363.449072,16,5949.709822
-285.001062,12,5954.368345
-225.535549,20,5964.113712
-307.915176,18,5970.785825
-248.359845,18,5977.116421
-291.666459,18,5984.300801
-267.381172,22,5993.021498
-281.274682,23,6002.411482
-301.049301,21,6009.704707
-273.070056,17,6015.982153
-329.808422,15,6021.163015
-280.063513,19,6028.345458
-192.756106,17,6034.215795
-318.229246,22,6042.999413
-262.264735,14,6048.185033
-236.484004,20,6055.405292
-306.817774,17,6061.601338
-284.849087,22,6069.689904
-261.854246,18,6077.606149
-260.944957,13,6083.828648
-310.827983,17,6090.257021
-246.318508,17,6097.988437
-197.783145,17,6104.181753
-276.95526,18,6110.483823
-306.883502,16,6115.849474
-249.234355,17,6121.445088
-202.588383,20,6128.383339
-271.330573,16,6134.660318
-252.139327,19,6143.425499
-239.863124,15,6149.335583
-164.069867,14,6154.010036
-235.213431,14,6159.686628
-214.515772,20,6166.760245
-287.135227,18,6173.151643
-245.063747,14,6179.689007
